Date,Open Price,Close Price,High Price,Low Price,Volume
27-Dec-2019,7632.24,7644.90,7665.40,7622.46,307085152
30-Dec-2019,7644.90,7587.05,7644.90,7587.05,289089056
02-Jan-2020,7542.44,7604.30,7624.78,7542.44,471518624
03-Jan-2020,7604.30,7622.40,7626.41,7551.00,433410880
06-Jan-2020,7622.40,7575.34,7622.40,7528.08,507945696
07-Jan-2020,7575.34,7573.85,7604.59,7562.14,496371744
08-Jan-2020,7573.85,7574.93,7579.48,7524.96,586270720
09-Jan-2020,7574.93,7598.12,7627.76,7574.93,610760128
10-Jan-2020,7598.12,7587.85,7631.96,7585.07,598582912
13-Jan-2020,7587.85,7617.60,7635.77,7582.51,615160256
14-Jan-2020,7617.60,7622.35,7650.69,7588.81,639221952
15-Jan-2020,7622.35,7642.80,7642.80,7609.44,608300096
16-Jan-2020,7642.80,7609.81,7653.58,7595.31,549546368
17-Jan-2020,7609.81,7674.56,7689.67,7609.81,609805568
20-Jan-2020,7674.56,7651.44,7682.77,7639.62,340715872
21-Jan-2020,7651.44,7610.70,7651.44,7550.47,577085696
22-Jan-2020,7610.70,7571.92,7637.35,7563.52,564406784
23-Jan-2020,7571.92,7507.67,7572.13,7503.17,568152576
24-Jan-2020,7507.67,7585.98,7642.21,7507.59,593412928
27-Jan-2020,7585.98,7412.05,7585.98,7392.83,613764736
28-Jan-2020,7412.05,7480.69,7491.44,7410.37,503797088
29-Jan-2020,7480.69,7483.57,7514.73,7462.21,511440544
30-Jan-2020,7483.57,7381.96,7483.57,7357.62,672044352
31-Jan-2020,7381.96,7286.01,7398.34,7275.03,680623424
03-Feb-2020,7286.01,7326.31,7359.98,7285.16,625059776
04-Feb-2020,7326.31,7439.82,7442.08,7326.31,647326656
05-Feb-2020,7439.82,7482.48,7512.41,7408.45,782508352
06-Feb-2020,7482.48,7504.79,7533.57,7482.48,649856512
07-Feb-2020,7504.79,7466.70,7506.26,7441.14,652801600
10-Feb-2020,7466.70,7446.88,7466.70,7427.85,563649664
11-Feb-2020,7446.88,7499.44,7529.54,7446.88,678217280
12-Feb-2020,7499.44,7534.37,7547.65,7499.01,550373824
13-Feb-2020,7534.37,7452.03,7534.37,7406.94,765546624
14-Feb-2020,7452.03,7409.13,7472.85,7403.69,613055552
17-Feb-2020,7409.13,7433.25,7449.95,7409.13,391946880
18-Feb-2020,7433.25,7382.01,7433.25,7353.41,690549376
19-Feb-2020,7382.01,7457.02,7462.01,7382.01,559936256
20-Feb-2020,7457.02,7436.64,7480.49,7436.64,733958528
21-Feb-2020,7436.64,7403.92,7436.70,7370.63,769009792
24-Feb-2020,7403.92,7156.83,7403.92,7114.45,1061550784
25-Feb-2020,7156.83,7017.88,7198.23,7004.94,914785088
26-Feb-2020,7017.88,7042.47,7044.66,6871.85,968162944
27-Feb-2020,7042.47,6796.40,7042.47,6729.99,1212910976
28-Feb-2020,6796.40,6580.61,6796.40,6460.08,1967786368
02-Mar-2020,6580.61,6654.89,6775.18,6496.01,1725714432
03-Mar-2020,6654.89,6718.20,6846.28,6654.89,1214470528
04-Mar-2020,6718.20,6815.59,6856.27,6700.23,1082839680
05-Mar-2020,6815.59,6705.43,6834.12,6662.61,1120076928
06-Mar-2020,6705.43,6462.55,6705.43,6431.44,1249399040
09-Mar-2020,6462.55,5965.77,6462.55,5891.56,2057264000
10-Mar-2020,5965.77,5960.23,6231.06,5927.85,1673530112
11-Mar-2020,5960.23,5876.52,6088.50,5860.75,1477612544
12-Mar-2020,5876.52,5237.48,5876.52,5237.48,2197411840
13-Mar-2020,5237.48,5366.11,5696.48,5237.48,1905324160
16-Mar-2020,5366.11,5151.08,5366.11,4898.79,2058321024
17-Mar-2020,5151.08,5294.90,5308.95,4978.84,1842474752
18-Mar-2020,5294.90,5080.58,5294.90,5006.20,1791793152
19-Mar-2020,5080.58,5151.61,5181.04,4942.37,1870725120
20-Mar-2020,5151.61,5190.78,5419.30,5151.61,2446991616
23-Mar-2020,5190.78,4993.89,5194.83,4922.76,1580528256
24-Mar-2020,4993.89,5446.01,5446.01,4993.89,1559803776
25-Mar-2020,5446.01,5688.20,5741.42,5400.47,1733536512
